Track,Artist,URI,Audio Features,cluster
Southernplayalisticadillacmuzik,Outkast,2pMAmZdHfQHyqJCXJbfhK3,"[{'danceability': 0.691, 'energy': 0.834, 'key': 10, 'loudness': -5.802, 'mode': 0, 'speechiness': 0.225, 'acousticness': 0.0161, 'instrumentalness': 0, 'liveness': 0.0559, 'valence': 0.579, 'tempo': 172.387, 'type': 'audio_features', 'id': '2pMAmZdHfQHyqJCXJbfhK3', 'uri': 'spotify:track:2pMAmZdHfQHyqJCXJbfhK3', 'track_href': 'https://api.spotify.com/v1/tracks/2pMAmZdHfQHyqJCXJbfhK3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2pMAmZdHfQHyqJCXJbfhK3', 'duration_ms': 317507, 'time_signature': 4}]",5
Learn How to Watch (feat. Mac Miller & MadeinTYO),Carnage,5tErNrwK58SgLMjZXJ5fdY,"[{'danceability': 0.547, 'energy': 0.737, 'key': 7, 'loudness': -6.397, 'mode': 1, 'speechiness': 0.361, 'acousticness': 0.299, 'instrumentalness': 0, 'liveness': 0.173, 'valence': 0.323, 'tempo': 130.022, 'type': 'audio_features', 'id': '5tErNrwK58SgLMjZXJ5fdY', 'uri': 'spotify:track:5tErNrwK58SgLMjZXJ5fdY', 'track_href': 'https://api.spotify.com/v1/tracks/5tErNrwK58SgLMjZXJ5fdY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5tErNrwK58SgLMjZXJ5fdY', 'duration_ms': 121870, 'time_signature': 4}]",9
Allegations (feat. Pooh Shiesty),BIG30,3oW1FNqsSJVgxjE9rqgpDX,"[{'danceability': 0.664, 'energy': 0.42, 'key': 8, 'loudness': -9.508, 'mode': 1, 'speechiness': 0.187, 'acousticness': 0.00961, 'instrumentalness': 0, 'liveness': 0.118, 'valence': 0.177, 'tempo': 74.935, 'type': 'audio_features', 'id': '3oW1FNqsSJVgxjE9rqgpDX', 'uri': 'spotify:track:3oW1FNqsSJVgxjE9rqgpDX', 'track_href': 'https://api.spotify.com/v1/tracks/3oW1FNqsSJVgxjE9rqgpDX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3oW1FNqsSJVgxjE9rqgpDX', 'duration_ms': 160000, 'time_signature': 4}]",9
No Profanity,Judas and the Black Messiah,2fcrnYXo5BP1RjzhIgV0v9,"[{'danceability': 0.701, 'energy': 0.571, 'key': 1, 'loudness': -5.906, 'mode': 1, 'speechiness': 0.309, 'acousticness': 0.189, 'instrumentalness': 0, 'liveness': 0.0781, 'valence': 0.207, 'tempo': 150.01, 'type': 'audio_features', 'id': '2fcrnYXo5BP1RjzhIgV0v9', 'uri': 'spotify:track:2fcrnYXo5BP1RjzhIgV0v9', 'track_href': 'https://api.spotify.com/v1/tracks/2fcrnYXo5BP1RjzhIgV0v9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2fcrnYXo5BP1RjzhIgV0v9', 'duration_ms': 130478, 'time_signature': 4}]",6
All Black,Judas and the Black Messiah,1cwGnaxEAu7fnt8YYROisL,"[{'danceability': 0.849, 'energy': 0.834, 'key': 2, 'loudness': -4.642, 'mode': 1, 'speechiness': 0.231, 'acousticness': 0.0123, 'instrumentalness': 0, 'liveness': 0.307, 'valence': 0.517, 'tempo': 133.971, 'type': 'audio_features', 'id': '1cwGnaxEAu7fnt8YYROisL', 'uri': 'spotify:track:1cwGnaxEAu7fnt8YYROisL', 'track_href': 'https://api.spotify.com/v1/tracks/1cwGnaxEAu7fnt8YYROisL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1cwGnaxEAu7fnt8YYROisL', 'duration_ms': 172967, 'time_signature': 4}]",2
Rich Nigga Problems,A$AP Rocky,4i9ATUqGrKhfzQ0k8UnSBf,"[{'danceability': 0.619, 'energy': 0.561, 'key': 5, 'loudness': -7.824, 'mode': 0, 'speechiness': 0.417, 'acousticness': 0.103, 'instrumentalness': 0, 'liveness': 0.45, 'valence': 0.587, 'tempo': 74.861, 'type': 'audio_features', 'id': '4i9ATUqGrKhfzQ0k8UnSBf', 'uri': 'spotify:track:4i9ATUqGrKhfzQ0k8UnSBf', 'track_href': 'https://api.spotify.com/v1/tracks/4i9ATUqGrKhfzQ0k8UnSBf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4i9ATUqGrKhfzQ0k8UnSBf', 'duration_ms': 217294, 'time_signature': 4}]",7
One Mic,Nas,6MMuI4k4Vs5ghtDH5i2hBg,"[{'danceability': 0.783, 'energy': 0.608, 'key': 0, 'loudness': -5.742, 'mode': 0, 'speechiness': 0.361, 'acousticness': 0.0574, 'instrumentalness': 0, 'liveness': 0.102, 'valence': 0.429, 'tempo': 91.672, 'type': 'audio_features', 'id': '6MMuI4k4Vs5ghtDH5i2hBg', 'uri': 'spotify:track:6MMuI4k4Vs5ghtDH5i2hBg', 'track_href': 'https://api.spotify.com/v1/tracks/6MMuI4k4Vs5ghtDH5i2hBg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6MMuI4k4Vs5ghtDH5i2hBg', 'duration_ms': 268667, 'time_signature': 4}]",1
Gang Signs (feat. ScHoolboy Q),Freddie Gibbs,6snYsavG9vq3C7RGN98dst,"[{'danceability': 0.626, 'energy': 0.615, 'key': 1, 'loudness': -6.142, 'mode': 1, 'speechiness': 0.346, 'acousticness': 0.265, 'instrumentalness': 0, 'liveness': 0.0812, 'valence': 0.611, 'tempo': 52.145, 'type': 'audio_features', 'id': '6snYsavG9vq3C7RGN98dst', 'uri': 'spotify:track:6snYsavG9vq3C7RGN98dst', 'track_href': 'https://api.spotify.com/v1/tracks/6snYsavG9vq3C7RGN98dst', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6snYsavG9vq3C7RGN98dst', 'duration_ms': 166841, 'time_signature': 3}]",2
Shiesty Season Intro,Pooh Shiesty,19DzFC8TyQ3i2c5875TNfK,"[{'danceability': 0.725, 'energy': 0.446, 'key': 11, 'loudness': -11.163, 'mode': 0, 'speechiness': 0.202, 'acousticness': 0.0611, 'instrumentalness': 0, 'liveness': 0.125, 'valence': 0.16, 'tempo': 126.922, 'type': 'audio_features', 'id': '19DzFC8TyQ3i2c5875TNfK', 'uri': 'spotify:track:19DzFC8TyQ3i2c5875TNfK', 'track_href': 'https://api.spotify.com/v1/tracks/19DzFC8TyQ3i2c5875TNfK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/19DzFC8TyQ3i2c5875TNfK', 'duration_ms': 107717, 'time_signature': 4}]",3
Late Night Calls,Tee Grizzley,7gVseEuINTNzR31IiG1aUe,"[{'danceability': 0.784, 'energy': 0.533, 'key': 1, 'loudness': -6.279, 'mode': 1, 'speechiness': 0.206, 'acousticness': 0.121, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.0979, 'tempo': 131.923, 'type': 'audio_features', 'id': '7gVseEuINTNzR31IiG1aUe', 'uri': 'spotify:track:7gVseEuINTNzR31IiG1aUe', 'track_href': 'https://api.spotify.com/v1/tracks/7gVseEuINTNzR31IiG1aUe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7gVseEuINTNzR31IiG1aUe', 'duration_ms': 174545, 'time_signature': 4}]",6
